사용월,호선명,역ID,지하철역,승차승객수,하차승객수,
Dec.21,5호선,422,광나루(장신대),"357,309","331,390",
Dec.21,5호선,423,천호(풍납토성),"510,197","502,520",
Dec.21,5호선,424,강동,"495,546","471,529",
Dec.21,5호선,425,길동,"218,620","229,498",
Dec.21,5호선,426,굽은다리(강동구민회관앞),"264,743","254,056",
Dec.21,5호선,427,명일,"232,336","240,441",
Dec.21,5호선,428,고덕,"255,232","252,586",
Dec.21,5호선,429,상일동,"407,997","374,245",
Dec.21,5호선,430,둔촌동,"232,519","232,911",
Dec.21,5호선,431,올림픽공원(한국체대),"119,763","107,487",
Dec.21,5호선,432,방이,"190,582","196,676",
Dec.21,5호선,433,오금,"98,741","97,517",
Dec.21,5호선,434,개롱,"172,531","179,989",
Dec.21,5호선,435,거여,"246,122","234,853",
Dec.21,5호선,436,마천,"184,526","182,565",
Dec.21,5호선,437,강일,"102,811","102,355",
Dec.21,5호선,438,미사,"431,245","428,131",
Dec.21,5호선,439,하남풍산,"112,111","113,368",
Dec.21,5호선,440,하남시청(덕풍·신장),"172,242","169,206",
Dec.21,5호선,441,하남검단산,"154,042","148,985",
Dec.21,6호선,442,응암,"474,220","469,342",
Dec.21,6호선,443,역촌,"105,029","122,630",
Dec.21,6호선,444,불광,"120,242","115,951",
Dec.21,6호선,445,독바위,"72,485","77,514",
Dec.21,6호선,446,연신내,26,0,
Dec.21,6호선,447,구산,"206,408","155,261",
Dec.21,6호선,448,새절(신사),"340,258","318,125",
Dec.21,6호선,449,증산(명지대앞),"273,482","270,251",
Dec.21,6호선,450,디지털미디어시티,"352,063","380,969",
Dec.21,6호선,451,월드컵경기장(성산),"105,825","113,939",
Dec.21,6호선,452,마포구청,"387,222","349,396",
Dec.21,6호선,453,망원,"389,337","420,861",
Dec.21,6호선,454,합정,"366,767","356,619",
Dec.21,6호선,455,상수,"237,216","268,318",
Dec.21,6호선,456,광흥창(서강),"236,154","229,786",
Dec.21,6호선,457,대흥(서강대앞),"210,013","215,064",
Dec.21,6호선,458,공덕,"474,616","459,459",
Dec.21,6호선,459,효창공원앞,"185,437","167,339",
Dec.21,6호선,460,삼각지,"167,620","146,560",
Dec.21,6호선,461,녹사평(용산구청),"134,843","137,589",
Dec.21,6호선,462,이태원,"287,934","304,341",
Dec.21,6호선,463,한강진,"248,712","284,852",
Dec.21,6호선,464,버티고개,"52,156","54,141",
Dec.21,6호선,465,약수,"96,230","95,925",
Dec.21,6호선,466,청구,"99,472","104,122",
Dec.21,6호선,467,신당,"235,303","238,785",
Dec.21,6호선,468,동묘앞,"218,167","220,440",
Dec.21,6호선,469,창신,"93,625","77,650",
Dec.21,6호선,470,보문,"196,834","180,578",
Dec.21,6호선,471,안암(고대병원앞),"276,823","272,880",
Dec.21,6호선,472,고려대(종암),"208,222","199,375",
Dec.21,6호선,473,월곡(동덕여대),"303,983","300,668",
Dec.21,6호선,474,상월곡(한국과학기술연구원),"166,029","147,212",
Dec.21,6호선,475,돌곶이,"249,317","232,427",
Dec.21,6호선,476,석계,"328,874","339,848",
Dec.21,6호선,477,태릉입구,"146,992","159,064",
Dec.21,6호선,478,화랑대(서울여대입구),"307,282","242,578",
Dec.21,6호선,479,봉화산(서울의료원),"232,697","218,504",
Dec.21,6호선,480,신내,8,0,
Dec.21,7호선,481,장암,"60,394","25,476",
Dec.21,7호선,482,도봉산,"246,864","288,282",
Dec.21,7호선,483,수락산,"342,425","334,101",
Dec.21,7호선,484,마들,"343,833","327,092",
Dec.21,7호선,485,노원,"537,791","559,309",
Dec.21,7호선,486,중계,"377,622","344,304",
Dec.21,7호선,487,하계,"473,880","445,072",
Dec.21,7호선,488,공릉(서울과학기술대),"325,063","321,706",
Dec.21,7호선,489,태릉입구,"228,452","214,727",
Dec.21,7호선,490,먹골,"276,534","270,133",
Dec.21,7호선,491,중화,"293,996","288,275",
Dec.21,7호선,492,상봉(시외버스터미널),"464,753","437,400",
Dec.21,7호선,493,면목,"433,079","424,072",
Dec.21,7호선,494,사가정,"437,772","436,124",
Dec.21,7호선,495,용마산(용마폭포공원),"164,357","159,400",
Dec.21,7호선,496,중곡,"293,684","276,145",
Dec.21,7호선,497,군자(능동),"402,774","323,122",
Dec.21,7호선,498,어린이대공원(세종대),"327,876","324,047",
Dec.21,7호선,499,건대입구,"347,030","358,238",
Dec.21,7호선,500,뚝섬유원지,"197,722","192,384",
Dec.21,7호선,501,청담,"500,121","561,234",
Dec.21,7호선,502,강남구청,"430,896","472,676",
Dec.21,7호선,503,학동,"620,344","657,841",
Dec.21,7호선,504,논현,"522,257","571,142",
Dec.21,7호선,505,반포,"156,824","150,616",
Dec.21,7호선,506,고속터미널,"435,992","363,155",
Dec.21,7호선,507,내방,"374,944","382,495",
Dec.21,7호선,508,이수,"425,365","411,845",
Dec.21,7호선,509,남성,"297,504","277,980",
Dec.21,7호선,510,숭실대입구(살피재),"331,832","334,335",
Dec.21,7호선,511,상도,"281,936","271,361",
Dec.21,7호선,512,장승배기,"252,576","247,635",
Dec.21,7호선,513,신대방삼거리,"442,740","423,115",
Dec.21,7호선,514,보라매,"261,486","257,718",
Dec.21,7호선,515,신풍,"310,037","296,441",
Dec.21,7호선,516,대림(구로구청),"224,854","226,757",
Dec.21,7호선,517,남구로,"415,892","435,752",
Dec.21,7호선,518,가산디지털단지,"1,144,630","1,127,758",
Dec.21,7호선,519,철산,"569,673","585,009",
Dec.21,7호선,520,광명사거리,"611,155","602,878",
Dec.21,7호선,521,천왕,"303,512","287,677",
